English,Chinese
game,游戏
toys,玩具
beanbag, 豆袋
chinese poker,波子棋
kaleidoscope,万花筒
mikado,竹签
fishing game,钓鱼
trading cards,公仔纸 
monopoly,大富翁
electronic pet,电子宠物
memory match,对对卡
shuttlecock,毽子
snacks, 零食
afraid,怕
student,学生
puzzle,拼图
buy,买
well-behaved,乖
rely,依赖
parents,父母
pampered,被宠
work,工作
communicate,沟通
shopaholic,购物狂
dyed hair,染发
naughty,调皮捣蛋
independent,独立
discover,发现
only,只是
obviously,显然
never,从不 
not dead but still skinned alive,不死也会脱层皮
already,已经。。了
become,变成
honest,坦白
pursue dream,梦寐以求
whether,是否 / 是不是
imagine,想象
bag,包
remember,记得
collect,收集
persist,坚持
dream,梦想
find,找到
popular,流行
technology,技术
progress,进步
day and night thinking,日思夜想
food,餐
fast food,快餐
combo meal,套餐
western food,西餐
chinese food,中餐
ordering,点餐​
french fries, 薯条
sausage, 香肠
cake, 蛋糕
burger, 汉堡包
bread, 面包
fried chicken, 炸鸡
ice cream, 冰淇淋
mixed veggies soup, 杂菜汤
milk, 牛奶
yogurt, 酸奶
cookie, 饼干
steamed fish, 蒸鱼
salad, 沙拉
chocolate, 巧克力
chips, 薯片
cheese, 奶酪
sushi, 寿司
roasted duck, 烤鸭
red bean tofu, 红烧豆腐
fried greens, 炒青菜
steak, 烤牛排
fruit salad, 水果沙拉
green tea, 绿茶
fried rice, 炒饭
spring roll, 春卷
fried noodles, 炒面
dumplings, 饺子
hungry,饿
bowl,碗
bottle,瓶
glass,杯
plate,盘
total,一共
drink,喝
eat,吃
waiter,服务员 
take-out,外卖
menu,菜单
dessert,甜点
leftovers,剩菜
spicy,辣
salty,咸
sour,酸
bitter,苦
sweet,甜
stream,蒸
stir fry,炒
pan fry,煎
bake,烤
boil for a long time,炖
simmer,焖
fry,炸
ramen,拉面
wonton,馄饨
siu mai,烧卖
hot pot,火锅
tofu,豆腐
stir fried veggies,炒菜
kitchen tools,厨具
spatula, 铲子
chopsticks, 筷子
raw, 生
pan fry, 平底锅
bowl, 碗
half raw half cooked, 半生半熟
wok, 锅子
plate, 盘子
spoon, 勺子
lid, 锅盖
electric stove, 电炉
lunch box, 便当盒
baking sheet, 烤盘
microwave, 微波炉
marinate, 腌制
mixer, 搅拌机
oven, 烤箱
allergic, 过敏
knife and fork, 刀叉
cooked, 熟
fridge, 冰箱
shopping, 购物
buy, 买东西
physical store, 实体店
online store, 网店
flagship store, 旗舰店
specialty store, 专卖店
promotion, 促销
sale, 减价
discount, 打折
add, 加入
product, 产品
product description, 产品详情
review, 评价
checkout, 结账
favorite, 收藏
discount coupon, 折扣券
shopping cart, 购物车
mad,狂
reluctant,舍不得省钱​
save money,存钱
not recklessly spending money,不乱花钱
stingy,一毛不拔
sunglasses,墨镜
T-shirt,T恤
flip flops,人字拖
shorts,短裤
cap,鸭舌帽
long pants,长裤
gloves,手套​
rain boots,雨鞋​
umbrella,雨伞​
rain jacket,雨衣​
coat,羽绒服
socks,袜子​
sweater,毛衣


